Gene,Main_cell_type,Main_subtype,pct_positive,Normal_mean_expr,Border_mean_expr,Tumor_mean_expr,Fold_Border_vs_Normal,log2FC_Border_Normal,pval_Border_vs_Normal,FDR,sig
CD80,Myeloids,Regulatory T cells,0.3757204348143284,0.003,0.015,0.017,6.568902051988137,2.716,0.0049981247650824,0.056,*
FOXP3,T cells,Regulatory T cells,1.0432625665718245,0.006,0.052,0.076,5.968704132224242,2.577,0.0411255411255411,0.264,ns
FAP,Stromal cells,Myofibroblasts,3.775443204202233,0.026,0.115,0.22,5.244655686871867,2.391,0.0043290043290043,0.056,*
SPP1,Myeloids,SPP1+B,6.733785656963595,0.066,0.303,0.376,3.097671883494906,1.631,0.0649350649350649,0.292,ns
CTLA4,T cells,Regulatory T cells,1.3423798059385716,0.019,0.078,0.074,2.735866011575711,1.452,0.132034632034632,0.495,ns
POSTN,Stromal cells,Myofibroblasts,5.559203326767345,0.099,0.201,0.374,2.4468240528899816,1.291,0.1796536796536796,0.505,ns
VEGFA,Epithelial cells,Epithelial cells,7.094915006930766,0.122,0.256,0.256,2.340213732991192,1.227,0.0649350649350649,0.292,ns
IGHG1,B cells,CD19+CD20+ B,10.016779747574232,0.166,0.51,0.536,2.296573499745557,1.199,0.6991341991341992,0.874,ns
LILRB4,Myeloids,SPP1+B,2.407528999781133,0.052,0.099,0.103,2.246699897650245,1.168,0.0411255411255411,0.264,ns
IL2RA,T cells,Regulatory T cells,1.907784343765959,0.027,0.097,0.117,2.131411292638552,1.092,0.093073593073593,0.381,ns
FCGR3A,Myeloids,SPP1+B,3.3267673451521125,0.079,0.157,0.174,2.0084607701262573,1.006,0.3095238095238095,0.733,ns
HAVCR2,T cells,CD8+ T cells,3.0349456482089443,0.062,0.132,0.148,1.883612888780274,0.914,0.0151515151515151,0.136,.
CCL7,Myeloids,SPP1+B,0.5435179105566499,0.011,0.022,0.027,1.873077211556034,0.905,0.3095238095238095,0.733,ns
CTSB,Myeloids,Myofibroblasts,23.13781279638141,0.658,0.962,1.102,1.6216648864136505,0.697,0.0649350649350649,0.292,ns
ACTA2,Stromal cells,Myofibroblasts,10.425330123294668,0.319,0.336,0.578,1.496343308022835,0.581,0.5887445887445888,0.855,ns
TIGIT,T cells,Regulatory T cells,3.3887794557525357,0.072,0.195,0.19,1.4555785186344208,0.542,0.4848484848484848,0.839,ns
CD274,Myeloids,SPP1+B,0.5654045378273875,0.01,0.02,0.018,1.4423666752435602,0.528,0.1796536796536796,0.505,ns
PDCD1,T cells,CD8+ T cells,1.7472824104472169,0.04,0.094,0.091,1.3805868881982435,0.465,0.8181818181818182,0.898,ns
CD68,Myeloids,SPP1+B,9.546217261253377,0.27,0.363,0.375,1.3199600767045585,0.4,0.1796536796536796,0.505,ns
SIGLEC10,B cells,CD19+CD20+ B,1.455460713504049,0.033,0.063,0.048,1.2662375349948425,0.341,0.4848484848484848,0.839,ns
ENTPD1,T cells,Regulatory T cells,7.178813744801927,0.214,0.248,0.304,1.2582735552779216,0.331,0.3939393939393939,0.806,ns
PDCD1LG2,Myeloids,Anti-inflammatory,0.7842708105347632,0.02,0.022,0.023,1.2036660643685209,0.267,0.6991341991341992,0.874,ns
LGALS9,Myeloids,CD19+CD20+ B,10.04960968848034,0.228,0.364,0.343,1.1679592718973804,0.224,0.5887445887445888,0.855,ns
CD86,Myeloids,CD19+CD20+ B,3.312176260304954,0.1,0.127,0.13,1.1308841862523864,0.177,0.5887445887445888,0.855,ns
CTSD,T cells,SPP1+B,26.20923615670825,0.881,1.064,1.153,1.1214356832133288,0.165,0.6991341991341992,0.874,ns
APOE,Stromal cells,Stromal 1,10.294010359670242,0.307,0.43,0.524,1.055316104855173,0.078,0.9372294372294372,0.937,ns
TGFB1,T cells,CD4+ T cells,9.983949806668123,0.293,0.335,0.417,1.026021886201685,0.037,0.8181818181818182,0.898,ns
CD163,Myeloids,Anti-inflammatory,2.8707959436784125,0.102,0.109,0.119,0.9972525279266242,-0.004,0.5887445887445888,0.855,ns
TOX,T cells,CD8+ T cells,2.1667760998030205,0.067,0.096,0.076,0.9856994979124296,-0.021,0.3939393939393939,0.806,ns
GZMB,T cells,CD8+ T cells,3.5383380754359086,0.118,0.163,0.203,0.974707641587962,-0.037,0.9372294372294372,0.937,ns
LGALS3,Epithelial cells,Epithelial cells,29.441161450353835,1.234,1.284,1.377,0.9374578690483836,-0.093,0.4848484848484848,0.839,ns
CTSL,Stromal cells,Stromal 3,12.052236083752826,0.392,0.383,0.469,0.920444613222038,-0.12,0.9372294372294372,0.937,ns
FN1,Stromal cells,Stromal 3,12.723425986722113,0.484,0.413,0.648,0.9089761568291496,-0.138,0.4848484848484848,0.839,ns
IL10,Myeloids,Pro-inflammatory,0.868169548405924,0.032,0.029,0.034,0.8654979330153201,-0.208,0.6991341991341992,0.874,ns
LAG3,T cells,CD8+ T cells,2.334573575545342,0.081,0.096,0.101,0.8543172028831961,-0.227,0.8181818181818182,0.898,ns
NKG7,T cells,CD8+ T cells,4.942729991974904,0.229,0.259,0.23,0.8262249202669412,-0.275,0.6991341991341992,0.874,ns
MRC1,Myeloids,Anti-inflammatory,2.827022689136937,0.111,0.102,0.114,0.7927989233694974,-0.335,0.8181818181818182,0.898,ns
CSF1R,Myeloids,Anti-inflammatory,3.148026555774422,0.12,0.106,0.127,0.7130578193959307,-0.488,0.9372294372294372,0.937,ns
PRF1,T cells,CD8+ T cells,2.7978405194426204,0.111,0.135,0.123,0.6943411404116552,-0.526,0.5887445887445888,0.855,ns
IFNG,T cells,CD8+ T cells,1.2329466695848836,0.061,0.06,0.045,0.5892353130624276,-0.763,0.8181818181818182,0.898,ns
CCL2,Stromal cells,Stromal 3,6.919821988764864,0.3,0.205,0.302,0.5627316562435241,-0.829,0.3095238095238095,0.733,ns
KLRB1,T cells,CD4+ T cells,6.044356897935361,0.318,0.313,0.301,0.5157098663544799,-0.955,0.3939393939393939,0.806,ns
CCL8,Stromal cells,Stromal 1,0.9082950317356095,0.067,0.025,0.022,0.3533048285461705,-1.501,0.1796536796536796,0.505,ns
IGHA1,B cells,IgA+ Plasma,31.210330488071783,2.835,1.047,0.816,0.3418008040693007,-1.549,0.0021645021645021,0.056,*
NCAM1,Stromal cells,Enteric glial cells,1.0542058802071934,0.076,0.019,0.02,0.1453647654006369,-2.782,0.0043290043290043,0.056,*
